"number";"player";"team";"apps";"min";"goals";"NPG";"a"
1;"Esteban Lepaul";"Angers,Rennes";34;2761;21;18;5
2;"Mason Greenwood";"Marseille";32;2503;16;10;7
3;"Joaquín Panichelli";"Strasbourg";27;2202;16;11;1
4;"Folarin Balogun";"Monaco";30;2281;13;10;4
5;"Odsonne Edouard";"Lens";29;1879;12;11;3
6;"Wesley Said";"Lens";29;2061;12;11;2
7;"Lassine Sinayoko";"Auxerre";32;2811;12;9;4
8;"Florian Thauvin";"Lens";33;2510;11;9;6
9;"Corentin Tolisso";"Lyon";30;2319;11;9;4
10;"Anssumane Fati";"Monaco";25;1058;11;8;0
11;"Bradley Barcola";"Paris Saint Germain";29;1778;11;11;1
12;"Pierre-Emerick Aubameyang";"Marseille";30;2074;10;10;5
13;"Ousmane Dembélé";"Paris Saint Germain";22;1050;10;8;7
14;"Ahmadou Bamba Dieng";"Lorient";22;1239;10;9;1
15;"Pablo Pagis";"Lorient";28;1799;10;8;5
16;"Martial Godo";"Strasbourg";28;1602;10;10;1
17;"Pavel Sulc";"Lyon";27;1562;10;10;3
18;"Romain Del Castillo";"Brest";32;2686;9;3;3
19;"Breel Embolo";"Rennes";31;1870;9;9;3
20;"Ilan Kebbal";"Paris FC";29;2247;9;6;4
21;"Gauthier Hein";"Metz";29;2355;8;3;7
22;"Amine Gouiri";"Marseille";22;1318;8;8;3
23;"Sofiane Diop";"Nice";33;2191;8;6;2
24;"Yann Gboho";"Toulouse";31;2619;8;8;4
25;"Ludovic Ajorque";"Brest";32;2834;8;8;9
26;"Khvicha Kvaratskhelia";"Paris Saint Germain";28;1477;8;7;4
27;"Hákon Haraldsson";"Lille";32;2517;8;8;2
28;"Issa Soumaré";"Le Havre";34;2942;8;7;5
29;"Matias Fernandez-Pardo";"Lille";29;2408;8;6;5
30;"Olivier Giroud";"Lille";30;1610;7;4;1
31;"Désiré Doué";"Paris Saint Germain";23;1372;7;7;4
