"number";"player";"team";"apps";"min";"goals";"NPG";"a"
1;"Harry Kane";"Bayern Munich";31;2385;36;26;5
2;"Deniz Undav";"VfB Stuttgart";29;2261;19;19;6
3;"Serhou Guirassy";"Borussia Dortmund";33;2366;17;16;1
4;"Patrik Schick";"Bayer Leverkusen";28;2005;16;12;3
5;"Michael Olise";"Bayern Munich";32;2308;15;15;19
6;"Luis Díaz";"Bayern Munich";32;2464;15;15;14
7;"Andrej Kramaric";"Hoffenheim";34;2256;14;9;6
8;"Jonathan Burkardt";"Eintracht Frankfurt";22;1351;13;9;1
9;"Christoph Baumgartner";"RasenBallsport Leipzig";33;2811;13;13;8
10;"Haris Tabakovic";"Borussia M.Gladbach";32;2424;13;13;2
11;"Said El Mala";"FC Cologne";34;1965;13;12;4
12;"Nadiem Amiri";"Mainz 05";26;2112;12;4;2
13;"Ermedin Demirovic";"VfB Stuttgart";25;1507;12;11;3
14;"Yan Diomande";"RasenBallsport Leipzig";33;2507;12;12;8
15;"Igor Matanovic";"Freiburg";31;1536;11;10;2
16;"Fisnik Asllani";"Hoffenheim";33;2429;10;10;7
17;"Jens Stage";"Werder Bremen";29;2489;10;10;2
18;"Maximilian Beier";"Borussia Dortmund";32;2069;9;9;6
19;"Rômulo";"RasenBallsport Leipzig";30;2246;9;9;4
20;"Serge Gnabry";"Bayern Munich";21;1280;8;8;6
21;"Tim Lemperle";"Hoffenheim";29;2008;8;7;2
22;"Nicolas Jackson";"Bayern Munich";23;991;8;8;1
23;"Dzenan Pejcinovic";"Wolfsburg";30;1445;8;8;0
24;"Álex Grimaldo";"Bayer Leverkusen";29;2539;8;5;7
25;"Can Uzun";"Eintracht Frankfurt";21;1178;8;7;4
26;"Mohammed Amoura";"Wolfsburg";30;1949;8;7;3
27;"Julian Brandt";"Borussia Dortmund";29;1601;7;7;4
28;"Grischa Prömel";"Hoffenheim";33;1696;7;7;2
29;"Vincenzo Grifo";"Freiburg";33;1733;7;3;4
30;"Chris Führich";"VfB Stuttgart";33;1727;7;7;7
31;"Ragnar Ache";"FC Cologne";29;1739;7;7;4
32;"Jamie Leweling";"VfB Stuttgart";32;2385;7;7;9
33;"Jakub Kaminski";"FC Cologne";34;3031;7;7;3
34;"Karim Adeyemi";"Borussia Dortmund";28;1218;7;7;4
35;"Fábio Vieira";"Hamburger SV";29;2241;7;6;5
36;"Michael Gregoritsch";"Augsburg";17;926;6;5;2
37;"Maximilian Mittelstädt";"VfB Stuttgart";32;2200;6;2;4
