Unnamed: 0,Name,Team & Contract,ID,Height,Weight,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 23
,E. Haaland ST,Manchester City 2022 ~ 2034,239085,"195cm 6'5""",94kg 207lbs,Left,82,92,78,93,43,75,86,47,29,7,14,11,3,3,,,
,K. Mbappé ST LW LM,Real Madrid 2024 ~ 2029,231747,"182cm 6'0""",81kg 179lbs,Right,97,96,83,77,38,83,88,34,32,13,5,11,4,5,,,
,O. Dembélé ST RW CAM,Paris Saint-Germain 2023 ~ 2028,231443,"178cm 5'10""",67kg 148lbs,Left,93,89,76,69,45,84,88,49,39,6,6,10,5,5,,,
,Vitinha CM CDM CAM,Paris Saint-Germain 2022 ~ 2029,255253,"172cm 5'8""",64kg 141lbs,Right,75,69,89,59,85,91,88,79,69,12,13,5,3,4,,,
,H. Kane ST,FC Bayern München 2023 ~ 2027,202126,"188cm 6'2""",86kg 190lbs,Right,63,65,76,87,42,86,92,44,42,8,10,14,4,3,,,
,Pedri CM CDM CAM,FC Barcelona 2020 ~ 2030,251854,"174cm 5'9""",60kg 132lbs,Right,79,76,90,73,86,91,92,85,79,12,7,8,4,4,,,
,T. Courtois GK,Real Madrid 2018 ~ 2027,192119,"200cm 6'7""",96kg 212lbs,Left,42,52,38,70,15,60,66,18,16,86,89,88,3,1,,,
,Gabriel CB,Arsenal 2020 ~ 2029,232580,"190cm 6'3""",87kg 192lbs,Left,61,67,71,89,89,63,79,88,90,12,8,10,2,2,,,
,M. Salah RM RW CAM,Liverpool 2017 ~ 2027,209331,"175cm 5'9""",72kg 159lbs,Left,87,86,85,75,55,88,89,43,41,14,14,11,3,4,,,
,G. Donnarumma GK,Manchester City 2025 ~ 2030,230621,"196cm 6'5""",90kg 198lbs,Right,50,55,41,75,26,60,54,14,16,90,83,87,3,1,,,
,Rodri CDM CM,Manchester City 2019 ~ 2027,231866,"190cm 6'3""",82kg 181lbs,Right,65,65,86,83,84,84,92,87,82,10,10,14,4,3,,,
,A. Hakimi RB RM,Paris Saint-Germain 2021 ~ 2029,235212,"181cm 5'11""",73kg 161lbs,Right,89,95,95,72,85,78,84,85,79,10,8,6,4,4,,,
,J. Kimmich CDM RB CM,FC Bayern München 2015 ~ 2029,212622,"177cm 5'10""",75kg 165lbs,Right,75,70,92,69,85,86,87,86,85,8,15,15,4,3,,,
,M. Olise RM RW CAM,FC Bayern München 2024 ~ 2029,247827,"180cm 5'11""",78kg 172lbs,Left,83,74,85,62,55,89,88,58,49,9,11,10,2,5,,,
