Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,Value,Wage,Total stats,Unnamed: 9
,E. Haaland ST,24,91,93,Manchester City 2022 ~ 2034,€172.5M,€390K,2184,
,K. Mbappé ST LW LM,26,91,92,Real Madrid 2024 ~ 2029,€157M,€610K,2209,
,O. Dembélé ST RW CAM,28,90,90,Paris Saint-Germain 2023 ~ 2028,€122.5M,€220K,2232,
,Vitinha CM CDM CAM,25,90,92,Paris Saint-Germain 2022 ~ 2029,€149M,€185K,2271,
,H. Kane ST,31,90,90,FC Bayern München 2023 ~ 2027,€101M,€170K,2218,
,Pedri CM CDM CAM,22,90,93,FC Barcelona 2020 ~ 2030,€165M,€180K,2247,
,T. Courtois GK,33,90,90,Real Madrid 2018 ~ 2027,€39M,€240K,1361,
,Gabriel CB,27,89,90,Arsenal 2020 ~ 2029,€104M,€250K,1897,
,M. Salah RM RW CAM,33,89,89,Liverpool 2017 ~ 2027,€64M,€220K,2217,
,G. Donnarumma GK,26,89,91,Manchester City 2025 ~ 2030,€97M,€150K,1381,
,Rodri CDM CM,29,89,89,Manchester City 2019 ~ 2027,€88M,€250K,2280,
,A. Hakimi RB RM,26,89,90,Paris Saint-Germain 2021 ~ 2029,€111M,€170K,2321,
,J. Kimmich CDM RB CM,30,89,89,FC Bayern München 2015 ~ 2029,€86M,€140K,2331,
,M. Olise RM RW CAM,23,89,91,FC Bayern München 2024 ~ 2029,€134M,€120K,2156,
,Raphinha LW CAM RW LM,28,89,89,FC Barcelona 2022 ~ 2028,€104M,€220K,2264,
,Lamine Yamal RW RM,17,89,95,FC Barcelona 2022 ~ 2031,€147M,€115K,2042,
,Vini Jr. LW ST LM,24,89,92,Real Madrid 2018 ~ 2027,€141M,€320K,2064,
,F. Valverde CM RB RM CDM,26,89,90,Real Madrid 2016 ~ 2029,€120.5M,€340K,2354,
,J. Bellingham CAM CM LM,22,89,93,Real Madrid 2023 ~ 2029,€150.5M,€300K,2359,
,D. Rice CDM CM,26,88,89,Arsenal 2023 ~ 2028,€96M,€230K,2273,
,W. Saliba CB,24,88,90,Arsenal 2019 ~ 2030,€105.5M,€200K,1926,
,M. Caicedo CDM CM,23,88,90,Chelsea 2023 ~ 2033,€107M,€185K,2202,
,V. van Dijk CB,33,88,88,Liverpool 2018 ~ 2027,€43.5M,€195K,2088,
,Alisson GK,32,88,88,Liverpool 2018 ~ 2027,€45M,€130K,1462,
,Bruno Fernandes CAM CM,30,88,88,Manchester United 2020 ~ 2027,€88M,€185K,2297,
,K. Kvaratskhelia LW RW LM,24,88,91,Paris Saint-Germain 2025 ~ 2029,€125M,€150K,2260,
,Nuno Mendes LB LM,23,88,91,Paris Saint-Germain 2021 ~ 2029,€115.5M,€135K,2312,
,W. Pacho CB,23,88,90,Paris Saint-Germain 2024 ~ 2029,€105.5M,€135K,1870,
,João Neves CM CDM,20,88,93,Paris Saint-Germain 2024 ~ 2029,€135M,€120K,2316,
,N. Barella CM CDM,28,88,88,Inter 2020 ~ 2029,€91.5M,€76K,2342,
,L. Martínez ST,27,88,88,Inter 2018 ~ 2029,€99M,€79K,2226,
,J. Oblak GK,32,88,88,Atlético Madrid 2014 ~ 2028,€45M,€87K,1387,
,David Raya GK,29,87,87,Arsenal 2024 ~ 2028,€54.5M,€145K,1460,
,B. Saka RW RM,23,87,89,Arsenal 2018 ~ 2030,€103.5M,€210K,2241,
,A. Isak ST,25,87,88,Liverpool 2025 ~ 2031,€96.5M,€185K,2078,
,F. Wirtz CAM LM CM,22,87,91,Liverpool 2025 ~ 2030,€116.5M,€160K,2163,
,Rúben Dias CB,28,87,87,Manchester City 2020 ~ 2029,€68.5M,€210K,1888,
,Marquinhos CB,31,87,87,Paris Saint-Germain 2013 ~ 2028,€54.5M,€145K,2072,
,J. Tah CB,29,87,87,FC Bayern München 2025 ~ 2029,€66.5M,€115K,1801,
,L. Díaz LM LW ST,28,87,87,FC Bayern München 2025 ~ 2029,€80M,€120K,2143,
,J. Musiala CAM LM CM ST,22,87,91,FC Bayern München 2020 ~ 2030,€116.5M,€100K,2180,
,A. Bastoni CB,26,87,89,Inter 2017 ~ 2028,€87M,€63K,2049,
,M. Maignan GK,29,87,88,AC Milan 2021 ~ 2031,€61M,€61K,1578,
,K. De Bruyne CM CAM,34,87,87,Napoli 2025 ~ 2027,€36.5M,€175K,2223,
,F. de Jong CM CDM CAM,28,87,87,FC Barcelona 2019 ~ 2029,€79.5M,€170K,2244,
,M. Ødegaard CM CAM,26,86,87,Arsenal 2021 ~ 2028,€79.5M,€200K,2197,
,V. Gyökeres ST,27,86,86,Arsenal 2025 ~ 2030,€73.5M,€220K,2139,
,C. Palmer CAM RM CM,23,86,89,Chelsea 2023 ~ 2033,€93M,€170K,2144,
,D. Szoboszlai CAM RB CM,24,86,88,Liverpool 2023 ~ 2028,€88M,€145K,2307,
,R. Gravenberch CDM CM,23,86,89,Liverpool 2023 ~ 2032,€84M,€135K,2235,
,Bruno Guimarães CM CDM,27,86,86,Newcastle United 2022 ~ 2028,€72M,€190K,2235,
,D. Doué RW LW CM RM,20,86,91,Paris Saint-Germain 2024 ~ 2029,€101M,€110K,2160,
,D. Upamecano CB,26,86,88,FC Bayern München 2021 ~ 2030,€74M,€100K,1914,
,G. Kobel GK,27,86,89,Borussia Dortmund 2021 ~ 2028,€66.5M,€52K,1254,
,N. Schlotterbeck CB,25,86,88,Borussia Dortmund 2022 ~ 2031,€75.5M,€78K,2117,
,Y. Sommer GK,36,86,86,Inter 2023 ~ 2028,€7.5M,€24K,1393,
,H. Çalhanoğlu CDM CM,31,86,86,Inter 2024 ~ 2027,€47.5M,€61K,2305,
,F. Dimarco LB LM,27,86,86,Inter 2018 ~ 2027,€65.5M,€58K,2331,
,Bremer CB,28,86,86,Juventus 2022 ~ 2029,€58.5M,€185K,1946,
,S. McTominay CM CAM LM CDM,28,86,86,Napoli 2024 ~ 2029,€68M,€165K,2236,
,J. Alvarez ST CAM,25,86,89,Atlético Madrid 2024 ~ 2030,€91M,€115K,2283,
,R. Lewandowski ST,36,86,86,FC Barcelona 2022 ~ 2028,€23M,€130K,2151,
,J. Koundé RB RM,26,86,87,FC Barcelona 2022 ~ 2030,€73M,€140K,2067,
,Joan García GK,24,86,89,FC Barcelona 2025 ~ 2031,€72.5M,€71K,1292,
,Zubimendi CDM CM,26,85,87,Arsenal 2025 ~ 2030,€60M,€180K,2174,
,E. Martínez GK,32,85,85,Aston Villa 2020 ~ 2029,€26.5M,€105K,1539,
,Y. Tielemans CM CDM CAM,28,85,85,Aston Villa 2023 ~ 2027,€54M,€170K,2186,
,Marc Cucurella LB CM,26,85,85,Chelsea 2022 ~ 2028,€53.5M,€170K,2198,
,E. Fernández CM CDM CAM,24,85,88,Chelsea 2023 ~ 2032,€73M,€150K,2223,
