"number";"player";"team";"apps";"min";"goals";"NPG";"a"
1;"Kylian Mbappe-Lottin";"Real Madrid";31;2623;25;17;5
2;"Vedat Muriqi";"Mallorca";37;3150;23;18;1
3;"Ante Budimir";"Osasuna";37;2995;17;11;0
4;"Ferrán Torres";"Barcelona";33;2025;16;16;2
5;"Vinícius Júnior";"Real Madrid";36;2865;16;12;5
6;"Lamine Yamal";"Barcelona";28;2291;16;13;11
7;"Mikel Oyarzabal";"Real Sociedad";34;2727;15;8;4
8;"Robert Lewandowski";"Barcelona";31;1630;14;13;2
9;"Borja Iglesias";"Celta Vigo";35;1903;14;10;2
10;"Antonio Martínez";"Alaves";37;2750;14;13;3
11;"Alexander Sørloth";"Atletico Madrid";35;1955;13;13;0
12;"Raphinha";"Barcelona";22;1424;13;10;3
13;"Georges Mikautadze";"Villarreal";33;2155;13;13;6
14;"Lucas Boyé";"Alaves";29;1960;11;8;1
15;"Juan Camilo Hernández";"Real Betis";32;2623;11;10;3
16;"Carlos Espí";"Levante";25;1328;11;11;0
17;"Gerard Moreno";"Villarreal";22;1368;10;7;0
18;"André Silva";"Elche";31;1858;10;7;0
19;"Hugo Duro";"Valencia";36;1979;10;9;0
20;"Gorka Guruzeta";"Athletic Club";35;2401;10;9;3
21;"Jorge De Frutos";"Rayo Vallecano";36;2526;10;9;1
22;"Abdessamad Ezzalzouli";"Real Betis";29;2275;10;10;8
23;"Akor Adams";"Sevilla";32;2048;10;7;3
24;"Alberto Moleiro";"Villarreal";38;2535;10;10;5
25;"Pablo Fornals";"Real Betis";37;2912;9;9;6
26;"Nicolas Pepe";"Villarreal";37;2497;9;7;8
27;"Ferrán Jutglà";"Celta Vigo";30;1702;9;9;3
28;"Orri Óskarsson";"Real Sociedad";20;822;9;9;0
29;"Federico Viñas";"Real Oviedo";34;2575;9;7;1
30;"Vladyslav Vanat";"Girona";27;2003;9;6;1
31;"Marcus Rashford";"Barcelona";32;1739;8;8;7
32;"Rafa Mir";"Elche";27;1834;8;7;0
33;"Kike García";"Espanyol";37;1694;8;7;1
34;"Gonçalo Guedes";"Real Sociedad";32;1833;8;8;4
35;"Julián Álvarez";"Atletico Madrid";29;1926;8;6;4
36;"Antony";"Real Betis";32;2495;8;8;6
37;"Antoine Griezmann";"Atletico Madrid";34;1428;7;7;4
38;"Pere Milla";"Espanyol";33;2005;7;7;1
39;"Raul García";"Osasuna";36;926;7;7;1
40;"Dani Olmo";"Barcelona";33;2109;7;7;8
41;"Iván Romero";"Levante";32;2339;7;7;1
42;"Etta Eyong";"Levante,Villarreal";33;1657;7;7;4
43;"Samú Costa";"Mallorca";34;2731;7;7;2
44;"Alvaro Rodríguez";"Elche";34;2199;7;7;5
45;"Tajon Buchanan";"Villarreal";35;1873;7;7;1
46;"Roberto Fernández";"Espanyol";38;2388;7;6;3
47;"Ilyas Chaira";"Real Oviedo";37;2584;7;7;2
48;"Mauro Arambarri";"Getafe";37;3279;6;4;2
49;"Brais Méndez";"Real Sociedad";29;1708;6;5;2
50;"Roberto Navarro";"Athletic Club";32;1246;6;6;1
51;"Jude Bellingham";"Real Madrid";28;1933;6;6;4
52;"Martín Satriano";"Getafe";18;1609;6;6;1
53;"Nico Williams";"Athletic Club";25;1715;6;5;3
54;"Largie Ramazani";"Valencia";27;1200;6;3;1
55;"Viktor Tsygankov";"Girona";32;2672;6;6;5
56;"Carlos Romero";"Espanyol";36;3207;6;6;3
57;"Fermín López";"Barcelona";30;1780;6;6;9
58;"Gonzalo García";"Real Madrid";30;923;6;6;1
59;"Víctor Muñoz";"Osasuna";34;2705;6;6;2
60;"Ayoze Pérez";"Villarreal";26;1154;5;4;4
61;"Cristhian Stuani";"Girona";21;359;5;2;0
62;"Iago Aspas";"Celta Vigo";32;1082;5;3;3
63;"Djibril Sow";"Sevilla";33;2235;5;5;4
64;"Federico Valverde";"Real Madrid";33;2765;5;5;8
65;"Nicolás González";"Atletico Madrid";24;1480;5;5;0
66;"Sergio Camello";"Rayo Vallecano";22;810;5;5;1
67;"Azz-Eddine Ounahi";"Girona";24;1777;5;4;2
68;"Pape Alassane Gueye";"Villarreal";31;2280;5;4;2
69;"Williot Swedberg";"Celta Vigo";29;1237;5;5;5
70;"Carlos Vicente";"Alaves";21;1250;5;2;0
71;"Alexis Sánchez";"Sevilla";28;1278;4;3;2
72;"Umar Sadiq";"Real Sociedad,Valencia";25;1028;4;4;2
73;"Borja Mayoral";"Getafe";16;1072;4;4;1
74;"Carlos Soler";"Real Sociedad";33;2346;4;4;3
75;"Ademola Lookman";"Atletico Madrid";12;638;4;3;0
76;"Aitor Ruibal";"Real Betis";27;1809;4;4;2
77;"Álvaro García";"Rayo Vallecano";32;2123;4;4;5
78;"Oihan Sancet";"Athletic Club";28;1832;4;2;0
79;"German Valera";"Elche";36;2888;4;4;5
80;"Guido Rodríguez";"Valencia";16;1310;4;4;0
81;"Diego López";"Valencia";34;1781;4;4;1
82;"Giuliano Simeone";"Atletico Madrid";31;2153;4;4;6
83;"Hugo Álvarez";"Celta Vigo";28;1359;4;4;2
84;"Javier Guerra";"Valencia";36;2086;4;4;6
85;"Pablo Torre";"Mallorca";35;1614;4;4;4
86;"Arda Güler";"Real Madrid";33;2076;4;4;9
87;"Isaac Romero";"Sevilla";29;1506;4;4;0
88;"Alberto Reina";"Real Oviedo";38;2616;4;4;1
89;"Alemão";"Rayo Vallecano";26;1118;4;4;0
90;"Cédric Bakambu";"Real Betis";18;542;3;3;1
91;"Iñaki Williams";"Athletic Club";30;2188;3;2;6
92;"Thomas Lemar";"Girona";27;1252;3;3;1
93;"Leandro Cabrera";"Espanyol";37;3330;3;3;0
94;"Manuel Morlanes";"Mallorca";32;1801;3;3;0
95;"Santiago Comesaña";"Villarreal";34;2428;3;3;6
96;"Ander Barrenetxea";"Real Sociedad";30;1794;3;3;5
97;"Alejandro Catena";"Osasuna";35;3083;3;3;2
98;"Ruben Vargas";"Sevilla";24;1670;3;2;6
99;"Iker Losada";"Levante";23;882;3;3;1
100;"Luis Rioja";"Valencia";37;2676;3;3;6
101;"Arnaut Danjuma Groeneveld";"Valencia";30;1612;3;3;2
102;"Ronald Araújo";"Barcelona";24;1049;3;3;0
103;"Isi Palazón";"Rayo Vallecano";31;2294;3;1;3
104;"Randy Nteka";"Rayo Vallecano";13;342;3;3;0
105;"Adrián De la Fuente";"Levante";33;2704;3;2;1
106;"Joel Roca";"Girona";32;1463;3;3;1
107;"Carlos Álvarez";"Levante";30;1910;3;3;1
108;"Luka Sucic";"Real Sociedad";22;1003;3;3;1
109;"Thiago Almada";"Atletico Madrid";27;1327;3;3;1
110;"Adrián Liso";"Getafe";28;1725;3;3;0
111;"Kervin Arriaga";"Levante";27;1511;3;3;3
112;"Luis Vázquez";"Getafe";17;1232;3;3;1
113;"Héctor Bellerín";"Real Betis";27;1822;2;2;3
114;"Salomón Rondón";"Real Oviedo";16;1054;2;2;0
115;"Rubén García";"Osasuna";35;2297;2;2;5
116;"Koke";"Atletico Madrid";34;2237;2;2;2
117;"João Cancelo";"Barcelona";16;938;2;2;2
118;"Omar Mascarell";"Mallorca";30;2251;2;2;2
119;"Pepelu";"Valencia";31;2253;2;1;0
120;"Neal Maupay";"Sevilla";12;884;2;2;1
121;"Florian Lejeune";"Rayo Vallecano";36;3233;2;2;1
122;"Alex Berenguer";"Athletic Club";31;2191;2;2;3
123;"Kike Barja";"Osasuna";27;369;2;2;2
124;"Giovani Lo Celso";"Real Betis";24;1396;2;2;3
125;"Javi Puado";"Espanyol";10;687;2;1;0
126;"Eder Militão";"Real Madrid";16;1147;2;2;1
127;"Aleix Febas";"Elche";36;3178;2;2;2
128;"Nemanja Gudelj";"Sevilla";34;2349;2;2;0
129;"Pol Lozano";"Espanyol";33;2211;2;2;1
130;"Takefusa Kubo";"Real Sociedad";24;1531;2;2;4
131;"Sergio Carreira";"Celta Vigo";34;2695;2;2;1
132;"Álex Baena";"Atletico Madrid";27;1615;2;2;3
133;"Víctor García";"Levante";21;1065;2;2;1
134;"Alfonso Espino";"Rayo Vallecano";30;1472;2;2;0
135;"Pedri";"Barcelona";29;2117;2;2;9
136;"Aitor Paredes";"Athletic Club";19;1625;2;2;0
137;"Nahuel Molina";"Atletico Madrid";26;1292;2;2;2
138;"Conor Gallagher";"Atletico Madrid";19;630;2;2;0
139;"Alfon";"Sevilla,Villarreal";21;691;2;2;0
140;"Ilaix Moriba";"Celta Vigo";36;2484;2;2;3
141;"Antonio Blanco";"Alaves";36;3137;2;2;3
142;"Pathé Ciss";"Rayo Vallecano";29;1974;2;2;1
143;"Kike Salas";"Sevilla";26;2199;2;2;0
144;"Nahuel Tenaglia";"Alaves";36;3240;2;2;0
145;"Eray Cömert";"Valencia";17;1341;2;2;1
