"number";"player";"team";"apps";"min";"goals";"NPG";"a"
1;"Erling Haaland";"Manchester City";35;2979;27;24;8
2;"Thiago";"Brentford";38;3292;22;14;1
3;"Antoine Semenyo";"Bournemouth,Manchester City";37;3220;17;16;4
4;"Ollie Watkins";"Aston Villa";37;2908;16;16;3
5;"Morgan Gibbs-White";"Nottingham Forest";37;3142;15;14;4
6;"João Pedro";"Chelsea";35;2698;15;15;5
7;"Dominic Calvert-Lewin";"Leeds";35;2732;14;10;1
8;"Viktor Gyokeres";"Arsenal";36;2255;14;11;1
9;"Danny Welbeck";"Brighton";37;2286;13;12;1
10;"Eli Junior Kroupi";"Bournemouth";33;1708;13;11;0
11;"Jean-Philippe Mateta";"Crystal Palace";32;2225;12;8;0
12;"Richarlison";"Tottenham";32;1926;11;11;4
13;"Bryan Mbeumo";"Manchester United";33;2676;11;11;3
14;"Hugo Ekitike";"Liverpool";28;1835;11;11;4
15;"Benjamin Sesko";"Manchester United";30;1636;11;11;1
16;"Zian Flemming";"Burnley";29;1795;11;9;0
17;"Harry Wilson";"Fulham";36;2751;10;10;7
18;"Matheus Cunha";"Manchester United";33;2506;10;10;2
19;"Cole Palmer";"Chelsea";26;2007;10;5;1
20;"Enzo Fernández";"Chelsea";36;3149;10;8;4
21;"Morgan Rogers";"Aston Villa";37;3301;10;10;6
22;"Bruno Fernandes";"Manchester United";35;3082;9;5;21
23;"Jarrod Bowen";"West Ham";38;3416;9;8;11
24;"Casemiro";"Manchester United";34;2649;9;9;2
25;"Raúl Jiménez";"Fulham";36;2215;9;5;3
26;"Ismaila Sarr";"Crystal Palace";28;2181;9;6;1
27;"Bruno Guimarães";"Newcastle United";29;2467;9;7;5
28;"Beto";"Everton";37;1552;9;9;1
29;"Nick Woltemade";"Newcastle United";33;1953;8;7;3
30;"Kevin Schade";"Brentford";35;2781;8;8;3
31;"Kiernan Dewsbury-Hall";"Everton";31;2649;8;8;4
32;"Jaidon Anthony";"Burnley";37;2777;8;8;2
33;"Noah Okafor";"Leeds";28;1592;8;8;1
34;"Thierno Barry";"Everton";38;1921;8;8;0
35;"Callum Wilson";"West Ham";32;1229;7;7;1
36;"Mohamed Salah";"Liverpool";27;2163;7;6;7
37;"Phil Foden";"Manchester City";33;2083;7;7;5
38;"Harvey Barnes";"Newcastle United";37;1947;7;7;1
39;"Bukayo Saka";"Arsenal";31;2239;7;6;5
40;"Eberechi Eze";"Arsenal,Crystal Palace";33;1928;7;7;2
41;"William Osula";"Newcastle United";24;777;7;7;0
42;"Dango Ouattara";"Brentford";32;2303;7;7;3
43;"Brian Brobbey";"Sunderland";31;1943;7;7;1
44;"Marcus Tavernier";"Bournemouth";34;2779;7;5;4
45;"Cody Gakpo";"Liverpool";36;2758;7;7;5
46;"Virgil van Dijk";"Liverpool";38;3420;6;6;0
47;"Emiliano Buendía";"Aston Villa";36;1778;6;6;2
48;"Lukas Nmecha";"Leeds";31;1076;6;4;1
49;"Wilson Isidor";"Sunderland";32;1142;6;6;0
50;"Leandro Trossard";"Arsenal";31;2026;6;6;6
51;"Anthony Gordon";"Newcastle United";26;1888;6;3;2
52;"Iliman Ndiaye";"Everton";32;2805;6;4;3
53;"Dominik Szoboszlai";"Liverpool";36;3236;6;6;7
54;"Valentín Castellanos";"West Ham";18;1430;6;6;0
55;"Evanilson";"Bournemouth";36;2810;6;6;1
56;"Igor Jesus";"Nottingham Forest";37;2379;6;5;4
57;"Pedro Neto";"Chelsea";34;2667;5;5;6
58;"Martín Zubimendi";"Arsenal";38;3040;5;5;1
59;"John McGinn";"Aston Villa";30;2221;5;5;4
60;"Tomas Soucek";"West Ham";35;2206;5;5;0
61;"Florian Wirtz";"Liverpool";33;2426;5;5;3
62;"Enzo Le Fée";"Sunderland";36;2953;5;2;6
63;"Jéremy Doku";"Manchester City";30;1783;5;5;5
64;"Crysencio Summerville";"West Ham";31;2509;5;5;2
65;"Anton Stach";"Leeds";29;2394;5;5;3
66;"Ryan Gravenberch";"Liverpool";36;3008;5;5;3
67;"João Palhinha";"Tottenham";33;2180;5;5;2
68;"Nico O&#039;Reilly";"Manchester City";34;2646;5;5;3
69;"Tijjani Reijnders";"Manchester City";28;1642;5;5;2
70;"Diego Gómez";"Brighton";32;2186;5;5;1
71;"Rayan";"Bournemouth";15;1146;5;5;2
