ID,Player_Name,Age,Primary_Position,Player_Type,Positions,Club,League,Contract_End_Year,Height_cm,Weight_kg,BMI,Value_EUR,Value_Formatted,Wage_EUR,Wage_Formatted,Value_per_Overall,apps,min,goals,a,NPG,Performance_Score,Overall rating,Potential,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,"﻿""number"""
255253,Vitinha,25,CM,Outfield,CM CDM CAM,Paris Saint-Germain,Serie A,2029,172.0,64.0,21.63,149000000.0,149M,185000.0,185K,1655555.56,35,2262,5,1,5,0.24,90,92,Right,75,69,89,59,85,91,88,79,69,12,13,5,3,4,55
255253,Vitinha,25,CM,Outfield,CM CDM CAM,Paris Saint-Germain,Ligue 1,2029,172.0,64.0,21.63,149000000.0,149M,185000.0,185K,1655555.56,29,2122,1,7,1,0.34,90,92,Right,75,69,89,59,85,91,88,79,69,12,13,5,3,4,196
251854,Pedri,22,CM,Outfield,CM CDM CAM,FC Barcelona,La Liga,2030,174.0,60.0,19.82,165000000.0,165M,180000.0,180K,1833333.33,29,2117,2,9,2,0.47,90,93,Right,79,76,90,73,86,91,92,85,79,12,7,8,4,4,135
232580,Gabriel,27,CB,Outfield,CB,Arsenal,Premier League,2029,190.0,87.0,24.1,104000000.0,104M,250000.0,250K,1168539.33,32,2748,3,4,3,0.23,89,90,Left,61,67,71,89,89,63,79,88,90,12,8,10,2,2,97
231866,Rodri,29,CDM,Outfield,CDM CM,Manchester City,Premier League,2027,190.0,82.0,22.71,88000000.0,88M,250000.0,250K,988764.04,21,1500,1,0,1,0.06,89,89,Right,65,65,86,83,84,84,92,87,82,10,10,14,4,3,193
233419,Raphinha,28,LW,Outfield,LW CAM RW LM,FC Barcelona,La Liga,2028,176.0,68.0,21.95,104000000.0,104M,220000.0,220K,1168539.33,22,1424,13,3,10,1.01,89,89,Left,90,91,91,67,56,87,85,54,38,8,7,8,4,4,12
277643,Lamine Yamal,17,RW,Outfield,RW RM,FC Barcelona,La Liga,2031,181.0,72.0,21.98,147000000.0,147M,115000.0,115K,1651685.39,28,2291,16,11,13,1.06,89,95,Left,88,84,76,60,18,88,84,27,28,9,13,10,3,5,6
212831,Alisson,32,GK,Goalkeeper,GK,Liverpool,Premier League,2027,193.0,91.0,24.43,45000000.0,45M,130000.0,130K,511363.64,26,2340,0,0,0,0.0,88,88,Right,60,49,32,78,11,66,66,19,16,86,87,88,3,1,303
212198,Bruno Fernandes,30,CAM,Outfield,CAM CM,Manchester United,Premier League,2027,179.0,69.0,21.53,88000000.0,88M,185000.0,185K,1000000.0,35,3082,9,21,5,0.88,88,88,Right,68,66,95,61,64,93,88,71,66,12,14,8,4,4,22
252145,Nuno Mendes,23,LB,Outfield,LB LM,Paris Saint-Germain,Ligue 1,2029,180.0,70.0,21.6,115500000.0,115.5M,135000.0,135K,1312500.0,20,1251,4,5,3,0.65,88,91,Left,94,95,85,73,82,72,83,87,83,7,8,12,4,3,60
272834,João Neves,20,CM,Outfield,CM CDM,Paris Saint-Germain,Ligue 1,2029,174.0,66.0,21.8,135000000.0,135M,120000.0,120K,1534090.91,21,1280,5,1,5,0.42,88,93,Right,77,71,92,78,85,87,85,86,83,8,7,13,4,3,48
220901,David Raya,29,GK,Goalkeeper,GK,Arsenal,Premier League,2028,183.0,83.0,24.78,54500000.0,54.5M,145000.0,145K,626436.78,37,3330,0,0,0,0.0,87,87,Right,64,59,31,38,11,68,68,14,13,86,84,85,3,1,396
239818,Rúben Dias,28,CB,Outfield,CB,Manchester City,Premier League,2029,187.0,82.0,23.45,68500000.0,68.5M,210000.0,210K,787356.32,26,2142,2,0,2,0.08,87,87,Right,55,62,71,89,87,64,85,87,85,7,8,7,4,2,155
207865,Marquinhos,31,CB,Outfield,CB,Paris Saint-Germain,Ligue 1,2028,183.0,75.0,22.4,54500000.0,54.5M,145000.0,145K,626436.78,14,1040,0,0,0,0.0,87,87,Right,75,80,79,79,89,76,86,89,88,6,6,10,3,3,292
247851,Bruno Guimarães,27,CM,Outfield,CM CDM,Newcastle United,Premier League,2028,182.0,74.0,22.34,72000000.0,72M,190000.0,190K,837209.3,29,2467,9,5,7,0.51,86,86,Right,66,66,90,76,82,86,88,82,81,7,11,11,3,3,27
239580,Bremer,28,CB,Outfield,CB,Juventus,Serie A,2029,187.0,84.0,24.02,58500000.0,58.5M,185000.0,185K,680232.56,26,2187,4,3,4,0.29,86,86,Right,78,86,68,85,83,50,78,87,84,13,15,5,2,2,68
259532,Joan García,24,GK,Goalkeeper,GK,FC Barcelona,La Liga,2031,193.0,85.0,22.82,72500000.0,72.5M,71000.0,71K,843023.26,30,2700,0,0,0,0.0,86,89,Right,48,44,35,59,13,63,59,13,14,85,85,84,3,1,423
239231,Marc Cucurella,26,LB,Outfield,LB CM,Chelsea,Premier League,2028,174.0,71.0,23.45,53500000.0,53.5M,170000.0,170K,629411.76,34,2714,1,4,1,0.17,85,85,Left,78,77,89,70,83,77,79,85,84,13,7,10,3,3,211
226161,Marcos Llorente,30,RB,Outfield,RB RM CM,Atlético Madrid,La Liga,2027,183.0,74.0,22.1,46500000.0,46.5M,105000.0,105K,547058.82,29,2190,0,4,0,0.16,85,85,Right,89,92,93,78,82,81,79,84,74,13,6,11,4,3,327
256516,Nico Williams,22,LW,Outfield,LW LM,Athletic Club,La Liga,2035,181.0,67.0,20.45,75000000.0,75M,69000.0,69K,882352.94,25,1715,6,3,5,0.47,85,88,Right,94,92,81,61,40,80,78,33,25,9,13,12,5,4,53
228813,Aleix García,28,CM,Outfield,CM CDM CAM,Bayer 04 Leverkusen,Bundesliga,2029,173.0,68.0,22.72,42000000.0,42M,110000.0,110K,500000.0,33,2708,3,7,3,0.33,84,84,Right,67,64,76,65,77,86,84,77,74,16,8,10,3,3,95
241721,Rafael Leão,26,LW,Outfield,LW LM ST,AC Milan,Serie A,2028,188.0,81.0,22.92,49500000.0,49.5M,79000.0,79K,589285.71,29,1874,9,3,7,0.58,84,85,Right,93,93,75,79,24,81,83,24,21,10,12,11,4,5,17
210514,João Cancelo,31,RB,Outfield,RB LB RM,"FC Barcelona Jun 30, 2026 On loan",La Liga,,182.0,74.0,22.34,30500000.0,30.5M,68000.0,68K,363095.24,16,938,2,2,2,0.38,84,84,Right,88,78,77,65,79,85,85,81,77,6,9,14,4,4,117
241461,Ferran Torres,25,ST,Outfield,ST LW LM,FC Barcelona,La Liga,2027,183.0,80.0,23.89,53500000.0,53.5M,130000.0,130K,636904.76,33,2025,16,2,16,0.8,84,86,Right,86,82,74,76,36,79,82,36,28,12,9,15,4,4,4
244260,Dani Olmo,27,CAM,Outfield,CAM CM,FC Barcelona,La Liga,2030,179.0,72.0,22.47,45000000.0,45M,130000.0,130K,535714.29,33,2109,7,8,7,0.64,84,84,Right,78,71,71,56,58,85,82,53,38,15,15,12,4,4,40
240130,Éder Militão,27,CB,Outfield,CB,Real Madrid,La Liga,2028,186.0,78.0,22.55,45000000.0,45M,210000.0,210K,535714.29,16,1147,2,1,2,0.24,84,86,Right,80,83,84,79,84,65,76,85,84,11,8,12,3,2,126
243812,Rodrygo,24,LW,Outfield,LW RW ST LM,Real Madrid,La Liga,2028,174.0,64.0,21.14,57500000.0,57.5M,210000.0,210K,684523.81,19,633,1,3,1,0.57,84,87,Right,88,87,76,59,25,83,83,39,28,9,8,8,4,4,215
230869,Unai Simón,28,GK,Goalkeeper,GK,Athletic Club,La Liga,2029,190.0,88.0,24.38,33500000.0,33.5M,44000.0,44K,398809.52,37,3330,0,0,0,0.0,84,85,Right,48,50,44,76,26,48,40,18,12,83,80,82,3,1,346
197781,Isco,33,CAM,Outfield,CAM CM,Real Betis Balompié,La Liga,2028,176.0,79.0,25.5,26500000.0,26.5M,52000.0,52K,315476.19,8,213,1,1,0,0.84,84,84,Right,64,64,67,55,61,88,87,62,51,10,8,15,4,5,176
225193,Mikel Merino,29,CM,Outfield,CM ST CDM,Arsenal,Premier League,2028,189.0,83.0,23.24,35500000.0,35.5M,160000.0,160K,427710.84,22,1002,4,3,4,0.63,83,83,Left,52,54,82,78,83,80,81,82,76,9,12,13,3,3,73
218667,Bernardo Silva,30,CM,Outfield,CM CDM RW,Manchester City,Premier League,2030,173.0,65.0,21.72,34500000.0,34.5M,150000.0,150K,415662.65,38,2917,2,4,2,0.19,83,83,Left,63,50,87,47,73,84,85,75,68,9,10,12,2,4,135
240243,Matheus Cunha,26,CAM,Outfield,CAM LM ST,Manchester United,Premier League,2030,183.0,76.0,22.69,43000000.0,43M,115000.0,115K,518072.29,33,2506,10,2,10,0.43,83,84,Right,79,77,82,73,42,81,83,41,39,8,7,13,4,4,18
245037,Eric García,24,CB,Outfield,CB RB CDM RM,FC Barcelona,La Liga,2031,183.0,76.0,22.69,44500000.0,44.5M,95000.0,95K,536144.58,34,2761,1,1,1,0.07,83,86,Right,77,81,80,79,85,75,81,86,80,11,9,11,3,2,216
264240,Gavi,20,CM,Outfield,CM CDM CAM,FC Barcelona,La Liga,2030,173.0,70.0,23.39,51000000.0,51M,85000.0,85K,614457.83,11,578,0,1,0,0.16,83,87,Right,77,75,84,58,79,83,77,78,72,8,10,7,3,3,425
278046,Pau Cubarsí,18,CB,Outfield,CB,FC Barcelona,La Liga,2029,183.0,79.0,23.59,48000000.0,48M,70000.0,70K,578313.25,31,2733,1,0,1,0.03,83,89,Right,72,77,70,79,83,75,80,84,83,10,6,7,4,2,253
238616,Pedro Neto,25,RM,Outfield,RM LM RW,Chelsea,Premier League,2031,174.0,69.0,22.79,36500000.0,36.5M,130000.0,130K,445121.95,34,2667,5,6,5,0.37,82,83,Left,92,90,81,65,40,80,79,40,25,6,13,12,4,4,57
252042,João Pedro,23,ST,Outfield,ST CAM,Chelsea,Premier League,2033,186.0,82.0,23.7,44000000.0,44M,130000.0,130K,536585.37,35,2698,15,5,15,0.67,82,86,Right,80,79,75,75,38,77,82,27,23,7,6,8,4,4,6
253124,Matheus Nunes,26,RB,Outfield,RB CM RM,Manchester City,Premier League,2028,184.0,78.0,23.04,33000000.0,33M,130000.0,130K,402439.02,34,2865,1,5,1,0.19,82,83,Right,82,91,82,74,80,79,80,80,80,13,10,12,3,3,247
200145,Casemiro,33,CDM,Outfield,CDM CM,Manchester United,Premier League,2029,185.0,84.0,24.54,15000000.0,15M,100000.0,100K,182926.83,34,2649,9,2,9,0.37,82,82,Right,35,36,68,81,77,80,77,84,84,13,14,12,3,2,24
278016,Murillo,22,CB,Outfield,CB,Nottingham Forest,Premier League,2030,180.0,75.0,23.15,40000000.0,40M,90000.0,90K,487804.88,25,2132,1,0,1,0.04,82,86,Left,83,78,70,90,83,62,78,82,84,14,9,12,3,2,261
243576,Pedro Porro,25,RB,Outfield,RB RM,Tottenham Hotspur,Premier League,2028,173.0,69.0,23.05,37000000.0,37M,105000.0,105K,451219.51,34,2815,1,2,1,0.1,82,85,Right,78,78,91,68,78,80,79,79,77,15,7,5,3,3,210
266866,Éderson,25,CM,Outfield,CM CDM,Atalanta,Serie A,2027,183.0,83.0,24.78,40000000.0,40M,77000.0,77K,487804.88,30,2253,2,1,1,0.12,82,85,Right,78,78,90,77,81,80,84,84,75,14,10,13,3,3,157
277846,Nico Paz,20,CAM,Outfield,CAM RM ST CM,Como,Serie A,2028,186.0,81.0,23.41,60500000.0,60.5M,82000.0,82K,737804.88,35,2905,12,6,12,0.56,82,89,Left,78,80,77,68,61,80,78,69,48,14,10,12,3,4,6
257279,Álex Baena,23,LM,Outfield,LM CM LW,Atlético Madrid,La Liga,2030,175.0,70.0,22.86,46000000.0,46M,69000.0,69K,560975.61,27,1615,2,3,2,0.28,82,87,Right,79,79,78,60,69,83,75,66,64,6,11,12,4,3,132
192629,Iago Aspas,37,RW,Outfield,RW ST CAM RM,RC Celta,La Liga,2027,176.0,67.0,21.63,10000000.0,10M,35000.0,35K,121951.22,32,1082,5,3,3,0.66,82,82,Left,76,74,51,63,39,82,84,25,18,12,16,12,4,3,62
251566,Gabriel Martinelli,24,LW,Outfield,LW LM CM,Arsenal,Premier League,2027,178.0,75.0,23.67,35000000.0,35M,125000.0,125K,432098.77,30,1025,1,4,1,0.44,81,84,Right,92,89,82,63,39,77,79,44,43,10,6,6,3,4,214
228789,Robert Sánchez,27,GK,Goalkeeper,GK,Chelsea,Premier League,2030,197.0,90.0,23.19,22000000.0,22M,76000.0,76K,271604.94,35,3054,0,1,0,0.03,81,82,Right,55,65,40,77,15,55,55,17,15,82,79,80,3,1,386
255069,Nico González,23,CDM,Outfield,CDM CM,Manchester City,Premier League,2029,188.0,88.0,24.9,33500000.0,33.5M,100000.0,100K,413580.25,25,1576,1,0,1,0.06,81,85,Right,66,67,76,79,80,80,79,79,81,14,14,12,2,3,239
223334,Joelinton,28,CM,Outfield,CM CDM,Newcastle United,Premier League,2028,186.0,81.0,23.41,25500000.0,25.5M,130000.0,130K,314814.81,27,1958,2,1,2,0.14,81,81,Right,69,78,89,90,84,79,82,84,77,9,13,13,3,3,128
258648,Carlos Augusto,26,LB,Outfield,LB CB LM,Inter,Serie A,2028,184.0,78.0,23.04,27500000.0,27.5M,38000.0,38K,339506.17,34,1745,1,1,1,0.1,81,82,Left,79,78,80,74,78,76,78,81,79,11,12,12,2,3,249
268804,Mario Gila,24,CB,Outfield,CB,Lazio,Serie A,2027,185.0,80.0,23.37,31500000.0,31.5M,35000.0,35K,388888.89,31,2498,0,0,0,0.0,81,84,Right,83,87,82,75,81,62,76,79,82,14,10,6,4,2,446
236632,David Neres,28,LW,Outfield,LW LM,Napoli,Serie A,2028,175.0,69.0,22.53,26000000.0,26M,115000.0,115K,320987.65,16,932,3,3,3,0.58,81,81,Left,87,85,69,59,48,79,85,45,38,14,10,13,3,5,116
261865,Miguel Gutiérrez,23,LB,Outfield,LB LM,Napoli,Serie A,2030,180.0,73.0,22.53,34500000.0,34.5M,84000.0,84K,425925.93,28,1478,1,1,1,0.12,81,85,Left,82,80,85,66,79,80,75,78,76,14,10,6,3,2,226
193747,Koke,33,CM,Outfield,CM CDM,Atlético Madrid,La Liga,2028,176.0,77.0,24.86,16000000.0,16M,76000.0,76K,197530.86,34,2237,2,2,2,0.16,81,81,Right,53,45,82,75,79,82,84,79,70,14,12,10,4,3,116
216201,Iñaki Williams,31,RW,Outfield,RW ST RM,Athletic Club,La Liga,2028,186.0,81.0,23.41,21500000.0,21.5M,58000.0,58K,265432.1,30,2188,3,6,2,0.37,81,81,Right,91,92,84,83,38,78,78,55,34,14,15,10,3,4,91
255475,Antony,25,RW,Outfield,RW RM,Real Betis Balompié,La Liga,2030,172.0,63.0,21.3,31000000.0,31M,38000.0,38K,382716.05,32,2495,8,6,8,0.5,81,82,Left,85,85,76,65,53,81,80,52,31,9,10,8,2,5,36
216447,Álvaro García,32,LW,Outfield,LW LM ST,Rayo Vallecano,La Liga,2028,167.0,61.0,21.87,20500000.0,20.5M,37000.0,37K,253086.42,32,2123,4,5,4,0.38,81,81,Left,90,87,75,34,64,77,77,45,32,11,8,10,4,3,77
208093,Gerard Moreno,33,ST,Outfield,ST CAM,Villarreal CF,La Liga,2027,180.0,77.0,23.77,16500000.0,16.5M,55000.0,55K,203703.7,22,1368,10,0,7,0.66,81,81,Left,77,77,74,73,50,79,78,45,35,15,12,12,4,3,17
242201,Luis Milla,30,CM,Outfield,CM CDM,Getafe CF,La Liga,2027,175.0,67.0,21.88,24500000.0,24.5M,46000.0,46K,302469.14,37,3288,1,10,1,0.3,81,81,Right,71,67,90,68,82,85,81,80,70,12,13,10,3,3,222
230666,Gabriel Jesus,28,ST,Outfield,ST CAM,Arsenal,Premier League,2027,175.0,73.0,23.84,21500000.0,21.5M,140000.0,140K,268750.0,14,395,3,0,3,0.68,80,80,Right,85,78,62,65,32,78,79,30,28,13,8,6,3,4,96
241464,Pau Torres,28,CB,Outfield,CB,Aston Villa,Premier League,2028,191.0,80.0,21.93,18000000.0,18M,110000.0,110K,225000.0,21,1679,0,0,0,0.0,80,80,Left,66,67,71,73,81,77,82,82,81,11,13,13,2,2,337
273018,Andrey Santos,21,CM,Outfield,CM CDM,Chelsea,Premier League,2030,180.0,77.0,23.77,42500000.0,42.5M,86000.0,86K,531250.0,27,1217,1,0,1,0.07,80,87,Right,77,71,91,75,80,79,80,82,81,5,10,12,3,3,258
236045,Reinildo,31,LB,Outfield,LB,Sunderland,Premier League,2027,180.0,73.0,22.53,15500000.0,15.5M,68000.0,68K,193750.0,25,1974,0,1,0,0.05,80,80,Left,81,81,82,75,80,64,73,79,79,6,8,15,3,3,358
256903,Gonçalo Ramos,24,ST,Outfield,ST,Paris Saint-Germain,Ligue 1,2028,185.0,82.0,23.96,30500000.0,30.5M,79000.0,79K,381250.0,30,1293,6,1,5,0.49,80,84,Right,73,73,79,79,44,63,75,47,34,15,9,7,4,2,36
271400,Igor Paixão,25,LM,Outfield,LM LW,Olympique de Marseille,Ligue 1,2030,168.0,63.0,22.32,28000000.0,28M,45000.0,45K,350000.0,30,1979,6,5,6,0.5,80,83,Right,85,87,76,68,22,75,74,37,29,8,13,12,2,4,38
259516,Johnny Cardoso,23,CDM,Outfield,CDM CM,Atlético Madrid,La Liga,2030,185.0,78.0,22.79,27500000.0,27.5M,56000.0,56K,343750.0,15,905,0,0,0,0.0,80,84,Right,75,74,77,79,83,74,76,80,77,10,14,12,2,3,477
222509,Dani Ceballos,28,CM,Outfield,CM CDM CAM,Real Madrid,La Liga,2027,179.0,70.0,21.85,21000000.0,21M,165000.0,165K,262500.0,16,451,0,0,0,0.0,80,80,Right,65,57,75,61,76,80,80,75,70,12,15,7,3,4,323
212602,Diego Llorente,31,CB,Outfield,CB,Real Betis Balompié,La Liga,2028,186.0,75.0,21.68,14500000.0,14.5M,35000.0,35K,181250.0,18,1221,1,0,1,0.07,80,80,Right,62,62,65,78,82,60,70,83,78,8,12,9,3,2,174
