Unnamed: 0,Age,Overall rating,Potential,ID,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 28,Player_Name,Positions,Primary_Position,Match_Name,Club,Contract_End_Year,Height_cm,Weight_kg,Value_EUR,Wage_EUR,BMI,Value_per_Overall
,24,91,93,239085,Left,82,92,78,93,43,75,86,47,29,7,14,11,3,3,,,,E. Haaland,ST,ST,E. Haaland,Manchester City,2034,195.0,94.0,172500000.0,390000.0,24.72,1895604.4
,26,91,92,231747,Right,97,96,83,77,38,83,88,34,32,13,5,11,4,5,,,,K. Mbappé,ST LW LM,ST,K. Mbappe,Real Madrid,2029,182.0,81.0,157000000.0,610000.0,24.45,1725274.73
,28,90,90,231443,Left,93,89,76,69,45,84,88,49,39,6,6,10,5,5,,,,O. Dembélé,ST RW CAM,ST,O. Dembele,Paris Saint-Germain,2028,178.0,67.0,122500000.0,220000.0,21.15,1361111.11
,25,90,92,255253,Right,75,69,89,59,85,91,88,79,69,12,13,5,3,4,,,,Vitinha,CM CDM CAM,CM,Vitinha,Paris Saint-Germain,2029,172.0,64.0,149000000.0,185000.0,21.63,1655555.56
,31,90,90,202126,Right,63,65,76,87,42,86,92,44,42,8,10,14,4,3,,,,H. Kane,ST,ST,H. Kane,FC Bayern München,2027,188.0,86.0,101000000.0,170000.0,24.33,1122222.22
,22,90,93,251854,Right,79,76,90,73,86,91,92,85,79,12,7,8,4,4,,,,Pedri,CM CDM CAM,CM,Pedri,FC Barcelona,2030,174.0,60.0,165000000.0,180000.0,19.82,1833333.33
,33,90,90,192119,Left,42,52,38,70,15,60,66,18,16,86,89,88,3,1,,,,T. Courtois,GK,GK,T. Courtois,Real Madrid,2027,200.0,96.0,39000000.0,240000.0,24.0,433333.33
,27,89,90,232580,Left,61,67,71,89,89,63,79,88,90,12,8,10,2,2,,,,Gabriel,CB,CB,Gabriel,Arsenal,2029,190.0,87.0,104000000.0,250000.0,24.1,1168539.33
,33,89,89,209331,Left,87,86,85,75,55,88,89,43,41,14,14,11,3,4,,,,M. Salah,RM RW CAM,RM,M. Salah,Liverpool,2027,175.0,72.0,64000000.0,220000.0,23.51,719101.12
,26,89,91,230621,Right,50,55,41,75,26,60,54,14,16,90,83,87,3,1,,,,G. Donnarumma,GK,GK,G. Donnarumma,Manchester City,2030,196.0,90.0,97000000.0,150000.0,23.43,1089887.64
